3,5,5,0.25,0.125,1,1,2,1,0.896104,0.112903, 0.582824
3,5,5,0.25,0.125,1,2,2,1,0.939394,0.0375, 0.578636
3,5,5,0.25,0.125,1,3,2,1,0.788235,0.552239, 0.693837
3,5,5,0.25,0.25,1,1,2,1,0.910714,0.016, 0.552829
3,5,5,0.25,0.25,1,2,2,1,0.950617,0.0610687, 0.594798
3,5,5,0.25,0.25,1,3,2,1,0.901408,0.578125, 0.772095
3,5,5,0.25,0.375,1,1,2,1,0.878378,0.0494505, 0.546807
3,5,5,0.25,0.375,1,2,2,1,0.942029,0.0222222, 0.574106
3,5,5,0.25,0.375,1,3,2,1,0.918919,0.341176, 0.687822
3,7,7,0.25,0.125,1,1,3,1,0.829545,0.0978261, 0.536858
3,7,7,0.25,0.125,1,2,3,1,0.898734,0.0833333, 0.572574
3,7,7,0.25,0.125,1,3,3,1,0.764706,0.623377, 0.708174
3,7,7,0.25,0.25,1,1,3,1,0.873239,0.0242424, 0.533641
3,7,7,0.25,0.25,1,2,3,1,0.936508,0, 0.561905
3,7,7,0.25,0.25,1,3,3,1,0.968254,0.561497, 0.805551
3,7,7,0.25,0.375,1,1,3,1,0.942857,0.0456432, 0.583972
3,7,7,0.25,0.375,1,2,3,1,0.929577,0.021645, 0.566404
3,7,7,0.25,0.375,1,3,3,1,0.868421,0.286325, 0.635583
3,9,9,0.25,0.125,1,1,4,1,0.87013,0.0526316, 0.543131
3,9,9,0.25,0.125,1,2,4,1,0.9,0.0603448, 0.564138
3,9,9,0.25,0.125,1,3,4,1,0.844156,0.72973, 0.798385
3,9,9,0.25,0.25,1,1,4,1,0.898734,0.0280374, 0.550455
3,9,9,0.25,0.25,1,2,4,1,0.898551,0.0406504, 0.555391
3,9,9,0.25,0.25,1,3,4,1,0.867647,0.459821, 0.704517
3,9,9,0.25,0.375,1,1,4,1,0.861111,0.0153374, 0.522802
3,9,9,0.25,0.375,1,2,4,1,0.917808,0.0113314, 0.555218
3,9,9,0.25,0.375,1,3,4,1,0.873563,0.1843, 0.597858
